event_id,event_date,relative_day,calendar_date,station_name,pm25_ugm3,pm10_ugm3,air_temp_c,rh_pct,wind_speed_ms,wind_dir_deg,grap_stage,is_before_event,is_event_day,is_after_event
E001,2022-10-05,-7,2022-09-28,Anand Vihar,90.35,559.6,28.5,70.08,0.42,254.59,0,True,False,False
E001,2022-10-05,-6,2022-09-29,Anand Vihar,97.47,574.12,28.51,67.69,0.46,246.48,0,True,False,False
E001,2022-10-05,-5,2022-09-30,Anand Vihar,107.01,554.88,28.62,68.46,0.45,240.65,0,True,False,False
E001,2022-10-05,-4,2022-10-01,Anand Vihar,108.54,567.01,28.94,66.04,0.52,210.88,0,True,False,False
E001,2022-10-05,-3,2022-10-02,Anand Vihar,94.53,543.08,29.11,62.74,0.69,230.77,0,True,False,False
E001,2022-10-05,-2,2022-10-03,Anand Vihar,63.29,455.82,29.0,56.68,0.98,263.33,0,True,False,False
E001,2022-10-05,-1,2022-10-04,Anand Vihar,87.57,470.38,29.38,58.42,0.47,240.07,0,True,False,False
E001,2022-10-05,0,2022-10-05,Anand Vihar,112.89,330.83,28.32,65.85,0.81,141.95,1,False,True,False
E001,2022-10-05,1,2022-10-06,Anand Vihar,16.38,64.79,26.26,72.45,1.92,102.25,1,False,False,True
E001,2022-10-05,2,2022-10-07,Anand Vihar,24.01,70.88,24.91,82.01,1.14,96.1,1,False,False,True
E001,2022-10-05,3,2022-10-08,Anand Vihar,25.92,56.68,23.51,90.47,1.03,93.11,1,False,False,True
E001,2022-10-05,4,2022-10-09,Anand Vihar,18.28,39.18,23.02,93.83,0.87,95.8,1,False,False,True
E001,2022-10-05,5,2022-10-10,Anand Vihar,19.51,40.87,23.27,90.28,0.77,90.29,1,False,False,True
E001,2022-10-05,6,2022-10-11,Anand Vihar,43.85,95.47,25.17,83.71,0.43,108.09,1,False,False,True
E001,2022-10-05,7,2022-10-12,Anand Vihar,106.64,304.44,26.27,75.91,0.3,224.2,1,False,False,True
E001,2022-10-05,-7,2022-09-28,Bawana,58.71,125.41,26.89,69.66,0.69,126.64,0,True,False,False
E001,2022-10-05,-6,2022-09-29,Bawana,75.88,139.28,26.81,68.67,0.68,125.78,0,True,False,False
E001,2022-10-05,-5,2022-09-30,Bawana,91.96,162.68,26.25,70.98,0.66,123.37,0,True,False,False
E001,2022-10-05,-4,2022-10-01,Bawana,91.22,181.3,26.49,69.31,0.62,143.99,0,True,False,False
E001,2022-10-05,-3,2022-10-02,Bawana,84.04,182.25,26.4,68.31,0.67,110.46,0,True,False,False
E001,2022-10-05,-2,2022-10-03,Bawana,54.04,142.75,25.04,64.82,0.79,101.72,0,True,False,False
E001,2022-10-05,-1,2022-10-04,Bawana,73.0,168.12,25.77,66.72,0.67,122.52,0,True,False,False
E001,2022-10-05,0,2022-10-05,Bawana,97.33,212.62,27.21,63.33,0.95,191.99,1,False,True,False
E001,2022-10-05,1,2022-10-06,Bawana,22.96,80.04,23.29,67.3,1.58,275.62,1,False,False,True
E001,2022-10-05,2,2022-10-07,Bawana,21.87,51.31,20.07,75.49,1.42,248.15,1,False,False,True
E001,2022-10-05,3,2022-10-08,Bawana,15.47,24.26,17.08,83.66,1.71,247.38,1,False,False,True
E001,2022-10-05,4,2022-10-09,Bawana,7.83,14.1,16.81,82.37,1.61,226.82,1,False,False,True
E001,2022-10-05,5,2022-10-10,Bawana,19.69,36.63,16.45,82.77,1.48,253.84,1,False,False,True
E001,2022-10-05,6,2022-10-11,Bawana,36.83,73.7,21.5,75.59,0.58,216.8,1,False,False,True
E001,2022-10-05,7,2022-10-12,Bawana,57.39,113.93,21.0,75.06,0.48,123.18,1,False,False,True
E001,2022-10-05,-7,2022-09-28,Jawaharlal Nehru Stadium,45.06,116.61,30.15,65.91,1.28,218.39,0,True,False,False
E001,2022-10-05,-6,2022-09-29,Jawaharlal Nehru Stadium,59.74,117.18,28.74,74.0,1.13,224.51,0,True,False,False
E001,2022-10-05,-5,2022-09-30,Jawaharlal Nehru Stadium,76.7,135.62,28.77,75.51,3.2,199.48,0,True,False,False
E001,2022-10-05,-4,2022-10-01,Jawaharlal Nehru Stadium,79.5,154.2,28.94,73.09,7.5,133.09,0,True,False,False
E001,2022-10-05,-3,2022-10-02,Jawaharlal Nehru Stadium,64.99,143.88,29.11,69.6,7.49,133.1,0,True,False,False
E001,2022-10-05,-2,2022-10-03,Jawaharlal Nehru Stadium,35.61,107.82,28.9,63.31,4.68,194.94,0,True,False,False
E001,2022-10-05,-1,2022-10-04,Jawaharlal Nehru Stadium,56.93,133.76,28.88,67.75,7.5,133.14,0,True,False,False
E001,2022-10-05,0,2022-10-05,Jawaharlal Nehru Stadium,83.62,146.58,28.8,71.12,7.5,133.17,1,False,True,False
E001,2022-10-05,1,2022-10-06,Jawaharlal Nehru Stadium,11.67,37.05,27.04,76.0,7.5,133.12,1,False,False,True
E001,2022-10-05,2,2022-10-07,Jawaharlal Nehru Stadium,12.87,28.83,25.82,84.31,5.75,104.51,1,False,False,True
E001,2022-10-05,3,2022-10-08,Jawaharlal Nehru Stadium,8.37,13.0,24.46,91.75,1.51,25.17,1,False,False,True
E001,2022-10-05,4,2022-10-09,Jawaharlal Nehru Stadium,5.21,10.25,24.03,93.04,1.51,25.19,1,False,False,True
E001,2022-10-05,5,2022-10-10,Jawaharlal Nehru Stadium,10.72,21.34,24.22,90.84,1.67,56.76,1,False,False,True
E001,2022-10-05,6,2022-10-11,Jawaharlal Nehru Stadium,32.06,67.97,26.18,86.2,1.09,173.71,1,False,False,True
E001,2022-10-05,7,2022-10-12,Jawaharlal Nehru Stadium,58.94,121.97,26.49,80.21,1.09,284.76,1,False,False,True
E001,2022-10-05,-7,2022-09-28,Najafgarh,32.89,82.58,30.15,61.32,0.34,140.86,0,True,False,False
E001,2022-10-05,-6,2022-09-29,Najafgarh,58.38,112.64,29.12,64.67,0.51,78.36,0,True,False,False
E001,2022-10-05,-5,2022-09-30,Najafgarh,64.37,109.83,29.01,69.25,0.27,159.42,0,True,False,False
E001,2022-10-05,-4,2022-10-01,Najafgarh,67.47,123.52,29.08,67.35,0.23,96.57,0,True,False,False
E001,2022-10-05,-3,2022-10-02,Najafgarh,59.86,121.7,28.85,65.37,0.35,34.75,0,True,False,False
E001,2022-10-05,-2,2022-10-03,Najafgarh,30.62,80.95,28.36,64.08,0.23,176.66,0,True,False,False
E001,2022-10-05,-1,2022-10-04,Najafgarh,46.18,111.77,28.42,67.35,0.29,154.51,0,True,False,False
E001,2022-10-05,0,2022-10-05,Najafgarh,70.54,132.26,29.22,63.52,0.38,103.98,1,False,True,False
E001,2022-10-05,1,2022-10-06,Najafgarh,9.51,33.45,27.34,71.27,0.83,196.95,1,False,False,True
E001,2022-10-05,2,2022-10-07,Najafgarh,10.45,22.75,26.74,75.95,0.82,162.57,1,False,False,True
E001,2022-10-05,3,2022-10-08,Najafgarh,7.87,13.29,25.37,83.58,0.95,167.13,1,False,False,True
E001,2022-10-05,4,2022-10-09,Najafgarh,5.59,8.75,25.81,83.42,1.01,134.46,1,False,False,True
E001,2022-10-05,5,2022-10-10,Najafgarh,10.95,20.33,25.69,83.06,0.74,159.97,1,False,False,True
E001,2022-10-05,6,2022-10-11,Najafgarh,16.06,29.17,27.34,74.04,0.24,195.21,1,False,False,True
E001,2022-10-05,7,2022-10-12,Najafgarh,40.79,61.29,26.57,74.13,0.23,182.02,1,False,False,True
E001,2022-10-05,-7,2022-09-28,Narela,52.81,141.1,28.37,79.2,1.09,167.76,0,True,False,False
E001,2022-10-05,-6,2022-09-29,Narela,81.26,164.43,28.34,74.71,1.09,174.64,0,True,False,False
E001,2022-10-05,-5,2022-09-30,Narela,81.1,167.22,28.1,77.82,0.96,226.67,0,True,False,False
E001,2022-10-05,-4,2022-10-01,Narela,80.92,174.08,28.35,76.08,0.86,278.61,0,True,False,False
E001,2022-10-05,-3,2022-10-02,Narela,75.0,180.0,28.19,74.56,1.14,246.2,0,True,False,False
E001,2022-10-05,-2,2022-10-03,Narela,44.69,124.28,27.48,69.42,1.54,189.36,0,True,False,False
E001,2022-10-05,-1,2022-10-04,Narela,63.02,163.68,27.97,69.89,1.11,182.69,0,True,False,False
E001,2022-10-05,0,2022-10-05,Narela,88.4,210.85,28.7,67.7,1.24,106.04,1,False,True,False
E001,2022-10-05,1,2022-10-06,Narela,14.66,62.53,25.35,72.48,2.59,153.07,1,False,False,True
E001,2022-10-05,2,2022-10-07,Narela,14.83,50.71,24.11,81.27,2.7,142.86,1,False,False,True
E001,2022-10-05,3,2022-10-08,Narela,10.23,30.32,22.45,89.36,2.37,149.64,1,False,False,True
E001,2022-10-05,4,2022-10-09,Narela,7.7,28.62,22.31,87.46,2.58,135.86,1,False,False,True
E001,2022-10-05,5,2022-10-10,Narela,12.16,36.88,22.17,87.22,2.23,151.96,1,False,False,True
E001,2022-10-05,6,2022-10-11,Narela,30.01,77.92,24.79,80.73,0.84,212.81,1,False,False,True
E001,2022-10-05,7,2022-10-12,Narela,51.88,109.33,24.67,79.22,0.95,223.85,1,False,False,True
E001,2022-10-05,-7,2022-09-28,Okhla Phase-2,51.91,159.19,29.41,67.12,0.77,162.93,0,True,False,False
E001,2022-10-05,-6,2022-09-29,Okhla Phase-2,60.34,156.16,29.24,65.92,0.9,177.4,0,True,False,False
E001,2022-10-05,-5,2022-09-30,Okhla Phase-2,75.32,174.64,29.28,66.33,0.71,186.43,0,True,False,False
E001,2022-10-05,-4,2022-10-01,Okhla Phase-2,78.95,185.26,29.4,64.82,0.79,180.48,0,True,False,False
E001,2022-10-05,-3,2022-10-02,Okhla Phase-2,61.27,172.17,29.7,61.5,0.96,166.35,0,True,False,False
E001,2022-10-05,-2,2022-10-03,Okhla Phase-2,34.4,126.27,29.65,55.98,1.49,192.96,0,True,False,False
E001,2022-10-05,-1,2022-10-04,Okhla Phase-2,56.93,153.06,29.8,58.05,0.87,180.57,0,True,False,False
E001,2022-10-05,0,2022-10-05,Okhla Phase-2,91.35,190.1,28.66,66.26,0.91,134.17,1,False,True,False
E001,2022-10-05,1,2022-10-06,Okhla Phase-2,10.76,50.47,27.38,68.86,0.9,238.02,1,False,False,True
E001,2022-10-05,2,2022-10-07,Okhla Phase-2,9.18,38.79,26.15,75.69,0.76,259.45,1,False,False,True
E001,2022-10-05,3,2022-10-08,Okhla Phase-2,6.94,16.38,24.86,82.92,0.74,263.08,1,False,False,True
E001,2022-10-05,4,2022-10-09,Okhla Phase-2,6.18,9.73,24.4,86.15,0.75,232.84,1,False,False,True
E001,2022-10-05,5,2022-10-10,Okhla Phase-2,8.08,16.77,24.43,86.55,0.68,256.59,1,False,False,True
E001,2022-10-05,6,2022-10-11,Okhla Phase-2,35.8,89.23,26.32,80.93,0.62,154.0,1,False,False,True
E001,2022-10-05,7,2022-10-12,Okhla Phase-2,65.59,161.31,26.87,74.41,0.59,158.73,1,False,False,True
E001,2022-10-05,-7,2022-09-28,Punjabi Bagh,59.68,163.84,29.88,66.76,0.53,143.06,0,True,False,False
E001,2022-10-05,-6,2022-09-29,Punjabi Bagh,65.75,158.78,29.78,64.37,0.59,140.43,0,True,False,False
E001,2022-10-05,-5,2022-09-30,Punjabi Bagh,87.45,180.75,29.82,65.96,0.51,130.42,0,True,False,False
E001,2022-10-05,-4,2022-10-01,Punjabi Bagh,89.28,196.48,30.16,63.72,0.49,146.07,0,True,False,False
E001,2022-10-05,-3,2022-10-02,Punjabi Bagh,74.86,184.39,30.65,59.38,0.59,117.99,0,True,False,False
E001,2022-10-05,-2,2022-10-03,Punjabi Bagh,43.06,135.16,30.37,54.89,0.86,102.53,0,True,False,False
E001,2022-10-05,-1,2022-10-04,Punjabi Bagh,64.18,168.78,30.18,58.26,0.39,137.18,0,True,False,False
E001,2022-10-05,0,2022-10-05,Punjabi Bagh,105.01,223.78,29.64,61.07,0.4,129.86,1,False,True,False
E001,2022-10-05,1,2022-10-06,Punjabi Bagh,39.15,86.92,27.82,66.64,0.74,137.56,1,False,False,True
E001,2022-10-05,2,2022-10-07,Punjabi Bagh,28.61,78.87,26.43,76.11,0.51,139.08,1,False,False,True
E001,2022-10-05,3,2022-10-08,Punjabi Bagh,29.16,48.96,25.08,87.27,0.41,137.95,1,False,False,True
E001,2022-10-05,4,2022-10-09,Punjabi Bagh,25.69,42.15,24.64,88.92,0.41,134.62,1,False,False,True
E001,2022-10-05,5,2022-10-10,Punjabi Bagh,22.22,69.08,24.75,86.56,0.36,142.7,1,False,False,True
E001,2022-10-05,6,2022-10-11,Punjabi Bagh,50.58,113.72,26.61,77.62,0.36,170.7,1,False,False,True
E001,2022-10-05,7,2022-10-12,Punjabi Bagh,81.65,160.77,26.85,73.51,0.34,169.28,1,False,False,True
E001,2022-10-05,-7,2022-09-28,R K Puram,55.22,128.35,25.78,76.33,0.49,180.02,0,True,False,False
E001,2022-10-05,-6,2022-09-29,R K Puram,70.71,137.21,25.49,75.96,0.47,177.65,0,True,False,False
E001,2022-10-05,-5,2022-09-30,R K Puram,91.18,160.36,25.38,77.24,0.46,184.12,0,True,False,False
E001,2022-10-05,-4,2022-10-01,R K Puram,99.28,180.34,25.5,75.81,0.46,175.52,0,True,False,False
E001,2022-10-05,-3,2022-10-02,R K Puram,73.96,153.67,25.88,71.01,0.53,186.07,0,True,False,False
E001,2022-10-05,-2,2022-10-03,R K Puram,41.94,118.51,25.63,64.86,0.69,175.32,0,True,False,False
E001,2022-10-05,-1,2022-10-04,R K Puram,69.56,148.89,25.5,70.86,0.44,175.51,0,True,False,False
E001,2022-10-05,0,2022-10-05,R K Puram,96.4,164.08,24.94,75.06,0.57,182.89,1,False,True,False
E001,2022-10-05,1,2022-10-06,R K Puram,16.04,43.22,22.53,78.55,1.58,175.51,1,False,False,True
E001,2022-10-05,2,2022-10-07,R K Puram,17.58,40.12,20.78,85.86,1.42,163.88,1,False,False,True
E001,2022-10-05,3,2022-10-08,R K Puram,13.33,29.95,18.83,93.1,1.82,158.47,1,False,False,True
E001,2022-10-05,4,2022-10-09,R K Puram,11.41,23.92,18.09,95.36,1.44,142.72,1,False,False,True
E001,2022-10-05,5,2022-10-10,R K Puram,16.65,33.59,18.23,93.63,1.36,154.77,1,False,False,True
E001,2022-10-05,6,2022-10-11,R K Puram,43.97,73.73,21.15,88.38,0.39,175.06,1,False,False,True
E001,2022-10-05,7,2022-10-12,R K Puram,69.96,119.38,21.63,83.33,0.36,175.62,1,False,False,True
E002,2022-10-19,-7,2022-10-12,Anand Vihar,106.64,304.44,26.27,75.91,0.3,224.2,1,True,False,False
E002,2022-10-19,-6,2022-10-13,Anand Vihar,72.01,415.3,26.03,67.84,0.41,252.5,1,True,False,False
E002,2022-10-19,-5,2022-10-14,Anand Vihar,88.48,446.72,26.52,66.01,0.49,353.0,1,True,False,False
E002,2022-10-19,-4,2022-10-15,Anand Vihar,120.23,631.69,33.52,60.07,0.46,323.92,1,True,False,False
E002,2022-10-19,-3,2022-10-16,Anand Vihar,163.98,548.6,31.78,67.12,0.35,250.34,1,True,False,False
E002,2022-10-19,-2,2022-10-17,Anand Vihar,154.51,573.52,32.02,64.23,0.38,114.1,1,True,False,False
E002,2022-10-19,-1,2022-10-18,Anand Vihar,162.16,583.05,30.28,70.15,0.38,194.38,1,True,False,False
E002,2022-10-19,0,2022-10-19,Anand Vihar,167.76,632.39,,,,,2,False,True,False
E002,2022-10-19,1,2022-10-20,Anand Vihar,137.51,500.34,34.7,50.91,0.46,119.03,2,False,False,True
E002,2022-10-19,2,2022-10-21,Anand Vihar,151.03,497.98,32.35,61.15,0.4,180.29,2,False,False,True
E002,2022-10-19,3,2022-10-22,Anand Vihar,141.41,497.8,31.69,59.84,0.51,218.73,2,False,False,True
E002,2022-10-19,4,2022-10-23,Anand Vihar,152.53,544.89,25.44,56.55,0.34,67.48,2,False,False,True
E002,2022-10-19,5,2022-10-24,Anand Vihar,181.19,466.93,25.75,58.02,0.45,8.25,2,False,False,True
E002,2022-10-19,6,2022-10-25,Anand Vihar,179.21,421.96,25.02,57.53,0.57,15.26,2,False,False,True
E002,2022-10-19,7,2022-10-26,Anand Vihar,153.41,438.74,25.02,63.83,0.4,29.77,2,False,False,True
E002,2022-10-19,-7,2022-10-12,Bawana,57.39,113.93,21.0,75.06,0.48,123.18,1,True,False,False
E002,2022-10-19,-6,2022-10-13,Bawana,59.11,131.69,20.25,69.47,0.56,97.53,1,True,False,False
E002,2022-10-19,-5,2022-10-14,Bawana,76.81,168.89,19.91,69.7,0.62,90.39,1,True,False,False
E002,2022-10-19,-4,2022-10-15,Bawana,95.04,199.36,20.49,68.47,0.6,106.47,1,True,False,False
E002,2022-10-19,-3,2022-10-16,Bawana,128.82,258.56,21.16,65.48,0.4,117.89,1,True,False,False
E002,2022-10-19,-2,2022-10-17,Bawana,159.51,322.4,21.09,63.36,0.39,110.64,1,True,False,False
E002,2022-10-19,-1,2022-10-18,Bawana,143.32,367.1,20.31,62.13,0.54,120.35,1,True,False,False
E002,2022-10-19,0,2022-10-19,Bawana,138.05,409.23,20.73,60.51,0.6,220.36,2,False,True,False
E002,2022-10-19,1,2022-10-20,Bawana,146.12,367.09,22.31,59.2,0.58,254.06,2,False,False,True
E002,2022-10-19,2,2022-10-21,Bawana,136.82,343.96,21.3,60.63,0.48,191.77,2,False,False,True
E002,2022-10-19,3,2022-10-22,Bawana,134.79,265.5,18.85,61.83,0.57,111.23,2,False,False,True
E002,2022-10-19,4,2022-10-23,Bawana,147.83,265.99,21.12,56.09,0.53,111.81,2,False,False,True
E002,2022-10-19,5,2022-10-24,Bawana,161.5,264.21,25.55,60.15,0.63,111.56,2,False,False,True
E002,2022-10-19,6,2022-10-25,Bawana,139.83,250.71,25.1,60.61,0.65,97.54,2,False,False,True
E002,2022-10-19,7,2022-10-26,Bawana,148.82,304.88,25.76,63.11,0.54,105.65,2,False,False,True
E002,2022-10-19,-7,2022-10-12,Jawaharlal Nehru Stadium,58.94,121.97,26.49,80.21,1.09,284.76,1,True,False,False
E002,2022-10-19,-6,2022-10-13,Jawaharlal Nehru Stadium,47.2,118.38,25.84,74.67,1.1,299.24,1,True,False,False
E002,2022-10-19,-5,2022-10-14,Jawaharlal Nehru Stadium,66.57,152.92,26.13,72.93,1.13,303.88,1,True,False,False
E002,2022-10-19,-4,2022-10-15,Jawaharlal Nehru Stadium,83.45,179.89,26.0,73.94,1.21,304.22,1,True,False,False
E002,2022-10-19,-3,2022-10-16,Jawaharlal Nehru Stadium,102.82,220.73,26.17,73.46,1.07,283.29,1,True,False,False
E002,2022-10-19,-2,2022-10-17,Jawaharlal Nehru Stadium,100.6,212.31,25.87,71.18,1.01,303.87,1,True,False,False
E002,2022-10-19,-1,2022-10-18,Jawaharlal Nehru Stadium,101.5,236.54,25.8,71.46,1.04,213.84,1,True,False,False
E002,2022-10-19,0,2022-10-19,Jawaharlal Nehru Stadium,90.31,218.61,26.38,68.39,1.11,189.74,2,False,True,False
E002,2022-10-19,1,2022-10-20,Jawaharlal Nehru Stadium,107.06,246.8,26.34,68.13,1.14,172.08,2,False,False,True
E002,2022-10-19,2,2022-10-21,Jawaharlal Nehru Stadium,109.39,236.2,26.04,68.93,1.17,241.05,2,False,False,True
E002,2022-10-19,3,2022-10-22,Jawaharlal Nehru Stadium,112.28,237.83,25.21,68.03,1.11,278.52,2,False,False,True
E002,2022-10-19,4,2022-10-23,Jawaharlal Nehru Stadium,129.99,227.46,24.05,69.7,0.97,268.28,2,False,False,True
E002,2022-10-19,5,2022-10-24,Jawaharlal Nehru Stadium,184.17,269.26,24.31,68.16,1.12,266.82,2,False,False,True
E002,2022-10-19,6,2022-10-25,Jawaharlal Nehru Stadium,206.75,307.8,23.73,65.52,1.05,269.5,2,False,False,True
E002,2022-10-19,7,2022-10-26,Jawaharlal Nehru Stadium,142.7,243.66,24.29,73.82,1.09,264.56,2,False,False,True
E002,2022-10-19,-7,2022-10-12,Najafgarh,40.79,61.29,26.57,74.13,0.23,182.02,1,True,False,False
E002,2022-10-19,-6,2022-10-13,Najafgarh,39.39,69.11,26.18,70.19,0.25,209.17,1,True,False,False
E002,2022-10-19,-5,2022-10-14,Najafgarh,58.2,122.31,26.49,70.42,0.29,195.75,1,True,False,False
E002,2022-10-19,-4,2022-10-15,Najafgarh,71.0,132.92,27.07,70.98,0.27,208.32,1,True,False,False
E002,2022-10-19,-3,2022-10-16,Najafgarh,73.8,130.51,27.25,68.62,0.24,205.5,1,True,False,False
E002,2022-10-19,-2,2022-10-17,Najafgarh,83.8,155.88,25.85,70.73,0.26,220.68,1,True,False,False
E002,2022-10-19,-1,2022-10-18,Najafgarh,75.18,152.78,26.2,63.71,0.32,195.2,1,True,False,False
E002,2022-10-19,0,2022-10-19,Najafgarh,66.48,176.24,26.91,58.93,0.38,191.89,2,False,True,False
E002,2022-10-19,1,2022-10-20,Najafgarh,64.87,162.43,27.89,59.52,0.37,189.83,2,False,False,True
E002,2022-10-19,2,2022-10-21,Najafgarh,86.41,176.39,28.6,64.94,0.32,152.63,2,False,False,True
E002,2022-10-19,3,2022-10-22,Najafgarh,97.32,208.03,27.81,66.62,0.29,160.73,2,False,False,True
E002,2022-10-19,4,2022-10-23,Najafgarh,103.18,168.41,26.49,65.12,0.26,185.91,2,False,False,True
E002,2022-10-19,5,2022-10-24,Najafgarh,125.97,183.15,25.07,61.91,0.28,200.18,2,False,False,True
E002,2022-10-19,6,2022-10-25,Najafgarh,105.23,169.31,24.31,60.3,0.33,191.79,2,False,False,True
E002,2022-10-19,7,2022-10-26,Najafgarh,116.67,189.61,25.01,62.21,0.3,204.19,2,False,False,True
E002,2022-10-19,-7,2022-10-12,Narela,51.88,109.33,24.67,79.22,0.95,223.85,1,True,False,False
E002,2022-10-19,-6,2022-10-13,Narela,48.5,104.33,24.54,72.65,1.13,171.93,1,True,False,False
E002,2022-10-19,-5,2022-10-14,Narela,65.29,145.08,24.64,72.28,1.1,173.27,1,True,False,False
E002,2022-10-19,-4,2022-10-15,Narela,88.92,176.0,24.94,71.05,1.0,157.47,1,True,False,False
E002,2022-10-19,-3,2022-10-16,Narela,113.21,208.92,25.05,67.72,0.71,272.17,1,True,False,False
E002,2022-10-19,-2,2022-10-17,Narela,129.38,233.38,24.96,65.03,0.52,290.99,1,True,False,False
E002,2022-10-19,-1,2022-10-18,Narela,119.88,275.17,24.53,65.63,0.59,279.14,1,True,False,False
E002,2022-10-19,0,2022-10-19,Narela,140.14,380.75,24.88,64.3,0.67,212.67,2,False,True,False
E002,2022-10-19,1,2022-10-20,Narela,146.03,325.05,25.99,62.1,0.97,169.36,2,False,False,True
E002,2022-10-19,2,2022-10-21,Narela,124.37,280.79,25.2,64.3,0.6,198.04,2,False,False,True
E002,2022-10-19,3,2022-10-22,Narela,130.67,238.82,24.02,64.43,0.83,183.62,2,False,False,True
E002,2022-10-19,4,2022-10-23,Narela,129.12,229.41,23.13,59.76,0.49,261.56,2,False,False,True
E002,2022-10-19,5,2022-10-24,Narela,139.76,223.71,23.14,63.0,0.78,203.99,2,False,False,True
E002,2022-10-19,6,2022-10-25,Narela,127.28,219.93,22.39,62.96,0.83,161.06,2,False,False,True
E002,2022-10-19,7,2022-10-26,Narela,151.82,274.05,22.9,67.09,0.49,240.08,2,False,False,True
E002,2022-10-19,-7,2022-10-12,Okhla Phase-2,65.59,161.31,26.87,74.41,0.59,158.73,1,True,False,False
E002,2022-10-19,-6,2022-10-13,Okhla Phase-2,49.41,154.92,26.55,68.58,0.84,141.9,1,True,False,False
E002,2022-10-19,-5,2022-10-14,Okhla Phase-2,65.21,179.68,26.91,65.45,0.9,171.26,1,True,False,False
E002,2022-10-19,-4,2022-10-15,Okhla Phase-2,83.81,222.68,26.83,65.6,0.79,141.98,1,True,False,False
E002,2022-10-19,-3,2022-10-16,Okhla Phase-2,94.41,237.45,27.08,64.26,0.54,116.85,1,True,False,False
E002,2022-10-19,-2,2022-10-17,Okhla Phase-2,92.54,239.08,26.92,61.82,0.45,193.8,1,True,False,False
E002,2022-10-19,-1,2022-10-18,Okhla Phase-2,102.98,283.17,26.63,61.1,0.41,228.78,1,True,False,False
E002,2022-10-19,0,2022-10-19,Okhla Phase-2,99.16,292.61,26.91,58.95,0.5,160.9,2,False,True,False
E002,2022-10-19,1,2022-10-20,Okhla Phase-2,118.99,338.65,27.18,58.77,0.55,97.33,2,False,False,True
E002,2022-10-19,2,2022-10-21,Okhla Phase-2,126.59,324.22,26.93,59.24,0.6,133.17,2,False,False,True
E002,2022-10-19,3,2022-10-22,Okhla Phase-2,108.43,269.21,26.65,57.27,0.74,175.57,2,False,False,True
E002,2022-10-19,4,2022-10-23,Okhla Phase-2,127.11,253.27,25.55,57.35,0.49,190.42,2,False,False,True
E002,2022-10-19,5,2022-10-24,Okhla Phase-2,216.73,273.43,25.99,57.14,0.77,169.69,2,False,False,True
E002,2022-10-19,6,2022-10-25,Okhla Phase-2,165.09,268.13,25.5,55.8,0.71,189.7,2,False,False,True
E002,2022-10-19,7,2022-10-26,Okhla Phase-2,139.11,281.73,25.7,61.01,0.5,133.92,2,False,False,True
E002,2022-10-19,-7,2022-10-12,Punjabi Bagh,81.65,160.77,26.85,73.51,0.34,169.28,1,True,False,False
E002,2022-10-19,-6,2022-10-13,Punjabi Bagh,58.71,144.62,26.79,64.31,0.41,166.52,1,True,False,False
E002,2022-10-19,-5,2022-10-14,Punjabi Bagh,79.51,177.18,27.07,62.26,0.34,166.93,1,True,False,False
E002,2022-10-19,-4,2022-10-15,Punjabi Bagh,100.5,232.96,27.16,62.32,0.32,173.85,1,True,False,False
E002,2022-10-19,-3,2022-10-16,Punjabi Bagh,123.43,269.0,27.19,61.77,0.3,183.38,1,True,False,False
E002,2022-10-19,-2,2022-10-17,Punjabi Bagh,125.47,273.01,27.07,60.04,0.34,186.98,1,True,False,False
E002,2022-10-19,-1,2022-10-18,Punjabi Bagh,130.18,308.57,26.93,57.32,0.33,183.25,1,True,False,False
E002,2022-10-19,0,2022-10-19,Punjabi Bagh,94.29,255.95,27.1,54.6,0.36,194.65,2,False,True,False
E002,2022-10-19,1,2022-10-20,Punjabi Bagh,109.39,270.72,27.44,52.77,0.31,198.44,2,False,False,True
E002,2022-10-19,2,2022-10-21,Punjabi Bagh,135.97,301.93,27.38,54.43,0.33,194.36,2,False,False,True
E002,2022-10-19,3,2022-10-22,Punjabi Bagh,144.13,287.47,26.7,54.5,0.31,187.3,2,False,False,True
E002,2022-10-19,4,2022-10-23,Punjabi Bagh,140.25,270.89,25.84,51.45,0.32,192.14,2,False,False,True
E002,2022-10-19,5,2022-10-24,Punjabi Bagh,172.15,325.29,27.88,52.49,0.32,189.5,2,False,False,True
E002,2022-10-19,6,2022-10-25,Punjabi Bagh,167.24,282.56,29.65,51.54,0.39,180.1,2,False,False,True
E002,2022-10-19,7,2022-10-26,Punjabi Bagh,147.65,277.81,33.06,56.53,0.31,192.38,2,False,False,True
E002,2022-10-19,-7,2022-10-12,R K Puram,69.96,119.38,21.63,83.33,0.36,175.62,1,True,False,False
E002,2022-10-19,-6,2022-10-13,R K Puram,55.16,118.69,21.22,76.82,0.53,181.51,1,True,False,False
E002,2022-10-19,-5,2022-10-14,R K Puram,76.79,152.57,21.6,74.39,0.47,180.85,1,True,False,False
E002,2022-10-19,-4,2022-10-15,R K Puram,98.54,187.69,21.54,75.69,0.42,182.02,1,True,False,False
E002,2022-10-19,-3,2022-10-16,R K Puram,114.28,207.44,21.63,75.33,0.38,180.93,1,True,False,False
E002,2022-10-19,-2,2022-10-17,R K Puram,114.73,205.35,21.24,72.37,0.37,170.1,1,True,False,False
E002,2022-10-19,-1,2022-10-18,R K Puram,119.69,227.02,20.78,73.24,0.44,183.23,1,True,False,False
